hire_date,first_name,last_name,title
1999-11-21,Alexius,Plavsic,Senior Engineer
1999-10-26,Gudjon,Majewski,Senior Engineer
1999-08-17,Arumugam,Pelc,Senior Engineer
1999-07-21,Hailing,Levergood,Staff
1999-06-08,Jaques,Gecsei,Staff
1999-05-22,Leen,Peak,Engineer
1999-03-03,Leszek,Werthner,Staff
1999-02-25,Piyawadee,Leppanen,Senior Staff
1999-02-07,Mamdouh,Ramamoorthy,Senior Engineer
1999-02-01,Lalit,Blokdijk,Senior Engineer
1999-01-20,Kazuhiko,Marshall,Staff
1999-01-19,Chiradeep,Callaway,Staff
1998-11-18,Palash,Trelles,Engineer
1998-10-01,Feiyu,Siepmann,Senior Engineer
1998-09-15,Garnik,Luce,Staff
1998-09-09,Tua,Giveon,Technique Leader
1998-08-22,Zita,Hiltgen,Staff
1998-08-16,Sigeru,Versino,Engineer
1998-07-23,Morrie,Schurmann,Staff
1998-07-08,Terresa,Vigier,Staff
1998-07-07,Pranjal,Rossi,Staff
1998-06-23,Annemarie,Bressoud,Engineer
1998-06-23,Susumu,Fritzsche,Engineer
1998-06-22,Dayanand,Wielonsky,Staff
1998-06-18,Lobel,Stafford,Staff
1998-06-15,George,Casperson,Staff
1998-05-31,Eberhardt,Carrera,Staff
1998-05-19,Shuho,Laurillard,Technique Leader
1998-05-02,Tommaso,Vidya,Engineer
1998-04-02,Piyush,Danecki,Engineer
1998-03-30,Ramalingam,Remmele,Senior Engineer
1998-03-17,Keung,Schapiro,Senior Engineer
1998-03-13,Satoru,Vidal,Assistant Engineer
1998-03-05,Goo,Bresenham,Senior Staff
1998-03-04,Hidefumi,Moehrke,Staff
1998-02-23,Jianhua,Huttel,Engineer
1998-02-21,Alexius,Crouzet,Staff
1997-11-30,Taisook,Kampfer,Engineer
1997-11-29,Maren,DuCasse,Engineer
1997-11-21,Yongdong,Pollock,Staff
1997-11-19,Utpal,DuBourdieux,Technique Leader
1997-11-12,Breannda,Cangellaris,Staff
1997-11-03,Padma,Delgrange,Senior Staff
1997-10-30,Lidong,Swist,Engineer
1997-10-29,Yechezkel,Yurov,Senior Engineer
1997-10-24,Baocai,Leaver,Senior Staff
1997-10-15,Haldun,Compeau,Senior Staff
1997-10-02,Aron,Harbusch,Staff
1997-09-24,Limsoon,Erol,Senior Engineer
1997-09-10,Douadi,Sullins,Senior Staff
1997-08-25,Kien,Barreiro,Staff
1997-08-22,Leucio,Cappelli,Staff
1997-08-06,Fumitaka,Roohalamini,Staff
1997-07-08,Ferdinand,Rosiles,Senior Staff
1997-07-05,Eberhardt,Spelt,Staff
1997-07-04,Mari,Plessier,Senior Engineer
1997-06-17,Avishai,Majewski,Engineer
1997-05-25,Frazer,Candan,Senior Engineer
1997-05-17,Naraig,Docker,Staff
1997-05-09,Mohammed,Georg,Engineer
1997-05-09,Wayne,Baba,Engineer
1997-04-20,Gino,Lagarias,Engineer
1997-04-10,Itzchak,Penn,Staff
1997-04-04,Chiranjit,Serot,Staff
1997-03-31,Tru,Danecki,Staff
